seed,arm,acc,n_correct,n_total,acc_stderr,has_per_question,model_path
0,1.5B-ES,0.247475,49,198,0.030746,True,/home/zotar/models/Qwen2.5-1.5B-ES-math
0,1.5B-RL,0.237374,47,198,0.030314,True,/home/zotar/models/Qwen-2.5-1.5B-SimpleRL-Zoo
0,1.5B-base,0.242424,48,198,0.030533,True,Qwen/Qwen2.5-1.5B
0,7B-ES,0.252525,50,198,0.030954,True,/home/zotar/models/Qwen2.5-7B-ES-math
0,7B-RL,0.267677,53,198,0.031544,True,/home/zotar/models/Qwen-2.5-7B-SimpleRL-Zoo
0,7B-base,0.267677,53,198,0.031544,True,/home/zotar/models/Qwen2.5-7B
1,1.5B-ES,0.292929,58,198,0.032425,True,/home/zotar/models/Qwen2.5-1.5B-ES-math
1,1.5B-RL,0.232323,46,198,0.030089,True,/home/zotar/models/Qwen-2.5-1.5B-SimpleRL-Zoo
1,1.5B-base,0.222222,44,198,0.02962,True,Qwen/Qwen2.5-1.5B
1,7B-ES,0.222222,44,198,0.02962,True,/home/zotar/models/Qwen2.5-7B-ES-math
1,7B-RL,0.277778,55,198,0.031912,True,/home/zotar/models/Qwen-2.5-7B-SimpleRL-Zoo
1,7B-base,0.257576,51,198,0.031156,True,/home/zotar/models/Qwen2.5-7B
2,1.5B-ES,0.20202,40,198,0.028606,True,/home/zotar/models/Qwen2.5-1.5B-ES-math
2,1.5B-RL,0.181818,36,198,0.02748,True,/home/zotar/models/Qwen-2.5-1.5B-SimpleRL-Zoo
2,1.5B-base,0.207071,41,198,0.02887,True,Qwen/Qwen2.5-1.5B
2,7B-ES,0.237374,47,198,0.030314,True,/home/zotar/models/Qwen2.5-7B-ES-math
2,7B-RL,0.282828,56,198,0.032088,True,/home/zotar/models/Qwen-2.5-7B-SimpleRL-Zoo
2,7B-base,0.277778,55,198,0.031912,True,/home/zotar/models/Qwen2.5-7B
3,1.5B-ES,0.242424,48,198,0.030533,True,/home/zotar/models/Qwen2.5-1.5B-ES-math
3,1.5B-RL,0.232323,46,198,0.030089,True,/home/zotar/models/Qwen-2.5-1.5B-SimpleRL-Zoo
3,1.5B-base,0.227273,45,198,0.029858,True,Qwen/Qwen2.5-1.5B
3,7B-ES,0.282828,56,198,0.032088,True,/home/zotar/models/Qwen2.5-7B-ES-math
3,7B-RL,0.287879,57,198,0.032259,True,/home/zotar/models/Qwen-2.5-7B-SimpleRL-Zoo
